Itemcode,Barcode,ItemName,Unit,PhysicalCount,Converted,Region,CountingTime
111172,8.93E+12,PILLOWS Snack Nhan Sua Dua 100g/1 Goi,GOI,3,1,Backroom,2.02104E+13
111407,8.94E+12,LAY'S Khoai Tay Chien Tu Nhien 56g/1 Goi,GOI,10,1,Backroom,2.02104E+13
111483,8.94E+12,LAY'S Khoai Tay Chien Vi Tay Tao 56g/1 Goi,GOI,1,1,Backroom,2.02104E+13
111548,8.94E+12,LAY'S Khoai Tay Chien Suon Nuong 56g/1 Goi,GOI,15,1,Backroom,2.02104E+13
111548,8.94E+12,LAY'S Khoai Tay Chien Suon Nuong 56g/1 Goi,GOI,1,1,Backroom,2.02104E+13
112504,8.94E+12,SWING Khoai Tay Chien Vi Bo Bit Tet 63g/1 Goi,GOI,4,1,Display,2.02104E+13
112504,8.94E+12,SWING Khoai Tay Chien Vi Bo Bit Tet 63g/1 Goi,GOI,9,1,Backroom,2.02104E+13
112944,8.94E+12,TOONIES Snack Vi Cay 38g/1 Goi,GOI,1,1,Backroom,2.02104E+13
113261,8.93E+12,AFC Banh Quy Dinh Duong Vi Rau Cai  100g/1 Hop,HOP,3,1,Display,2.02104E+13
113285,8.93E+12,AFC Banh Quy Dinh Duong Vi Lua Mi 100g/1 Hop,HOP,3,1,Display,2.02104E+13
113285,8.93E+12,AFC Banh Quy Dinh Duong Vi Lua Mi 100g/1 Hop,HOP,1,1,Backroom,2.02104E+13
113493,8.94E+12,CHOCO-PIE Banh Phu So Co La  2 Goi 66g/1 Hop,HOP,9,1,Display,2.02104E+13
113508,8.94E+12,CHOCO-PIE Banh Phu So Co La  6 Goi 198g/1 Hop,HOP,4,1,Display,2.02104E+13
113558,8.93E+12,CREAM-O Banh Quy Kem Vani  93g/1 Goi,GOI,8,1,Display,2.02104E+13
113584,8.94E+12,CUSTAS Banh Bong Lan Kem Trung 2 Goi 46g/1 Hop,HOP,5,1,Display,2.02104E+13
113596,8.94E+12,CUSTAS Banh Bong  Lan Kem Trung 6 Goi 138g/1 Hop,HOP,4,1,Display,2.02104E+13
113596,8.94E+12,CUSTAS Banh Bong  Lan Kem Trung 6 Goi 138g/1 Hop,HOP,1,1,Backroom,2.02104E+13
114265,8.85E+12,KOALA'S MARCH Banh Gau Vi So Co La  37g/1 Hop,HOP,1,1,Display,2.02104E+13
114382,8.94E+12,MARINE BOY Banh Ca Vi Rong Bien 35g/1 Hop,HOP,1,1,Display,2.02104E+13
114473,7.62E+12,OREO Banh Quy Kem Lanh Viet Quat 133g/1 Goi,GOI,2,1,Display,2.02104E+13
114473,7.62E+12,OREO Banh Quy Kem Lanh Viet Quat 133g/1 Goi,GOI,3,1,Display,2.02104E+13
114502,7.62E+12,OREO Banh Quy Kem Dau 133g/1 Goi,GOI,9,1,Display,2.02104E+13
114502,7.62E+12,OREO Banh Quy Kem Dau 133g/1 Goi,GOI,3,1,Display,2.02104E+13
114502,7.62E+12,OREO Banh Quy Kem Dau 133g/1 Goi,GOI,3,1,Display,2.02104E+13
114514,8.99E+12,OREO Banh Quy Kem Vani 133g/1 Goi,GOI,4,1,Display,2.02104E+13
114540,8.99E+12,OREO Banh Quy Kem So Co La  133g/1 Goi,GOI,6,1,Display,2.02104E+13
114540,8.99E+12,OREO Banh Quy Kem So Co La  133g/1 Goi,GOI,1,1,Display,2.02104E+13
114875,4.89E+12,RITZ Banh Quy Kem Pho Mai 118/1 Goi,GOI,3,1,Display,2.02104E+13
114875,4.89E+12,RITZ Banh Quy Kem Pho Mai 118/1 Goi,GOI,1,1,Display,2.02104E+13
114875,4.89E+12,RITZ Banh Quy Kem Pho Mai 118/1 Goi,GOI,9,1,Display,2.02104E+13
115477,8.94E+12,THREE LADIES Ca Nuc Xot Ca 155g/1 Lon,LON,1,1,Display,2.02104E+13
115477,8.94E+12,THREE LADIES Ca Nuc Xot Ca 155g/1 Lon,LON,20,1,Backroom,2.02104E+13
115532,8.94E+12,AJINOMOTO Bot Ngot 400g/1 Goi,GOI,4,1,Display,2.02104E+13
115594,8.94E+12,ASUZAC Chao Ca 36g/1 Ly,LY,4,1,Display,2.02104E+13
115609,8.94E+12,ASUZAC Chao Thit 26g/1 Ly,LY,2,1,Display,2.02104E+13
115831,8.93E+12,CHOLIMEX Tuong Ca 270g/1 Chai,CHAI,8,1,Display,2.02104E+13
115910,8.94E+12,CUNG DINH Mi Cua Be Rau Ram 79g/1 To,TO,6,1,Display,2.02104E+13
115922,8.94E+12,CUNG DINH Mi Tom Chua Cay 85g/1 To,TO,6,1,Display,2.02104E+13
115958,9.31E+12,DILMAH Tra Den Vi Bac Ha 30g/1 Hop,HOP,3,1,Display,2.02104E+13
116108,8.94E+12,G7 Ca Phe Den Hoa Tan (15 goi x 2g)/1 Hop,HOP,6,1,Display,2.02104E+13
116213,8.93E+12,HAO 100 Mi Tom Chua Cay 60g/1 Goi,GOI,9,1,Display,2.02104E+13
116237,8.93E+12,HAO HAO Mi Tom Chua Cay 75g/1 Goi,GOI,18,1,Display,2.02104E+13
116653,9.31E+12,KELLOGG'S Ngu Coc Bap 25g/1 Hop,HOP,4,1,Display,2.02104E+13
116689,9.31E+12,KELLOGG'S Ngu Coc Frosties 30g/1 Hop,HOP,3,1,Display,2.02104E+13
116847,8.94E+12,KORENO Mi Kim Chi 100g/1 Goi,GOI,7,1,Display,2.02104E+13
117188,8.93E+12,MODERN Mi Bo Ham Rau Thom 65g/1 Ly,LY,4,1,Display,2.02104E+13
117205,8.93E+12,MODERN Mi Ly Huong Thit Xao 65g/1 Ly,LY,3,1,Display,2.02104E+13
117217,8.93E+12,MODERN Mi Lau Thai 65g/1 Ly,LY,3,1,Display,2.02104E+13
117281,8.93E+12,NESCAFE Ca Phe Hoa Tan 3in1 Do (20 goi x 17g)/1 Hop,HOP,1,1,Display,2.02104E+13
117293,8.93E+12,NESCAFE Ca Phe Hoa Tan 3in1 Xanh (20 goi x 17g)/1 Hop,HOP,2,1,Display,2.02104E+13
117293,8.93E+12,NESCAFE Ca Phe Hoa Tan 3in1 Xanh (20 goi x 17g)/1 Hop,HOP,1,1,Display,2.02104E+13
117401,8.93E+12,NGOI SAO PHUONG NAM Sua Dac 380g/1 Lon,LON,3,1,Display,2.02104E+13
117463,8.93E+12,NHIP SONG Hu Tieu Nam Vang 70g/1 Goi,GOI,8,1,Display,2.02104E+13
117487,8.93E+12,NHO MAI MAI Pho Bo To 75g/1 To,TO,3,1,Display,2.02104E+13
117516,8.93E+12,NHO MAI MAI Mi Lau Thai 84g/1 To,TO,5,1,Display,2.02104E+13
