Itemcode,Barcode,ItemName,Unit,PhysicalCount,Converted,Region,CountingTime
212924,2900012129240,THUAN LOI Ly Nhua S (50 cai x 12oz)/1 Goi,GOI,4,1,Display,20210329163729
212990,2900012129905,CK Ly Froster M (50 cai x 16oz)/1 Goi,GOI,5,1,Display,20210329163735
213093,8801104305136,ICE SANDWICH Kem Tra Xanh 150ml/1 Goi,GOI,5,1,Display,20210329163528
213239,8934988063042,MEIZAN Dau An 5L/1 Chai,CHAI,1,1,Display,20210329155544
213425,8935049500711,FUZE TEA Tra Chanh Day Hat Chia 450ml/1 Chai,CHAI,4,1,Display,20210329160919
213441,8938502525313,THO PHAT Dorayaki SCL 40g/1 Goi,GOI,15,1,Display,20210329155105
213459,8938502525320,THO PHAT Dorayaki C.Bong 40g/1 Goi,GOI,15,1,Display,20210329155103
214269,8934563193263,SIU KAY Mi Cay Hai San 128g/1 Goi,GOI,24,1,Backroom,20210329161842
214706,8888296038271,CORNICHE Mallows Thach 70g/1 Goi,GOI,2,1,8934563506155,20210329163107
214837,8935311110563,VIFON Chao Nam Dong Co 70g/1 Goi,GOI,5,1,Backroom,20210329162004
215833,8801068038262,SAMLIP Banh Pho Mai 105g/ 1 Cái,GOI,5,1,Display,20210329155025
215841,070074118659,ENSURE Sua Dinh Duong Vani 237ml/1 Chai,CHAI,6,1,Backroom,20210329161339
216740,8935006359253,OTTO BM Sua 90g/ 1 Goi,GOI,5,1,Bad Merchandise,20210329163009
217217,8934868137139,CIF Lau Da Nang Sieu Nhanh 520ml/1 Chai,CHAI,3,1,Display,20210329163758
219324,8936104380200,CUNG DINH Mi Chay 69g/1 Ly,LY,12,1,Backroom,20210329161904
219714,8935007147156,LOTHAMILK Sua Chua Uong 490ml/1 Chai,CHAI,12,1,Display,20210329155417
221949,8934680045650,KINH DO BLan Tuoi Hat SCL 50g/1 Goi,GOI,2,1,Bad Merchandise,20210329163026
222050,89302965,MARLBORO Thuoc La FLavour Code 20 Dieu/1 Goi,GOI,10,1,Display,20210329155856
222563,8936113000014,THAI SON Sua Bap 330ml/1 Chai,CHAI,8,1,Display,20210329155134
222563,8936113000014,THAI SON Sua Bap 330ml/1 Chai,CHAI,5,1,Bad Merchandise,20210329162849
223048,8934563151157,HAO HAO Mi Tom Xao Chua Ngot 75g/1 Goi,GOI,20,1,Backroom,20210329161849
223462,7804634121505,VIESTA Ruou Vang Do Cabernet Sauvignon 12.5% Do Con 750ml/1 Chai,CHAI,1,1,Display,20210329155658
223527,8934673132343,VINAMILK Sua Tiet Trung It Duong 220ml/1 Goi,GOI,8,1,Display,20210329155430
224442,8935212810111,ROMANO Lan Ngan Mui Classic 50ml/1Chai,CHAI,2,1,Not Yet Receiving,20210329162825
224971,8934563131258,SIU KAY Mi Cay Bo 127g/1 Goi,GOI,10,1,Backroom,20210329161839
225707,8934841902327,HOAN HAO Sua Dac 1270g/1 Hop,HOP,18,1,Display,20210329163937
225901,8934804030692,NESCAFE Ca Phe Sua Hoa Tan (10 goi x 20g)/1 Hop,HOP,11,1,8934563506155,20210329163105
226575,8936049051128,OTTOGI Mi Yeul Cay 120g/1 Goi,GOI,5,1,Backroom,20210329161814
226698,8934822111212,STRONGBOW Nuoc Tao Len Men Vi Tao 330ml/1 Lon,LON,19,1,Backroom,20210329161204
227149,4897090994663,SUNITY Cao Quy Linh Truyen Thong 215g/1 Hop,HOP,6,1,Display,20210329155306
227149,4897090994663,SUNITY Cao Quy Linh Truyen Thong 215g/1 Hop,HOP,4,1,Display,20210329155310
229426,2100012294263,CK Ly Ca Phe VN S (50 cai x 12oz)/1 Goi,GOI,1,1,Backroom,20210329161431
231376,8938523370015,HS VIET Sua Chua Nep Cam 160g/1 Hop,HOP,20,1,Display,20210329155359
