Item Code	Item Name	BarCode	Unit	Converter
266088	SUNLIGHT Nuoc Lau San Hoa Dien Vy 1Kg/1 Goi	266088	GOI	1
266088	SUNLIGHT Nuoc Lau San Hoa Dien Vy 1Kg/1 Goi	8934868139522	GOI	1
266088	SUNLIGHT Nuoc Lau San Hoa Dien Vy 1Kg/1 Goi	8934868145936	GOI	1
266096	OMO MATIC Nuoc Giat Cua Tren 2.7kg/1 Goi	266096	GOI	1
266096	OMO MATIC Nuoc Giat Cua Tren 2.7kg/1 Goi	8934868135517	GOI	1
266101	OMO MATIC Nuoc Giat May 1.7kg/1 Goi	266101	GOI	1
266101	OMO MATIC Nuoc Giat May 1.7kg/1 Goi	8934868135524	GOI	1
266119	COMFORT Nuoc Xa Ban Mai 1 LX 800ml/1 Goi	266119	GOI	1
266119	COMFORT Nuoc Xa Ban Mai 1 LX 800ml/1 Goi	8934868136231	GOI	1
266127	LIFEBUOY Nuoc Rua Tay Lam Bep 500g/1Chai	266127	CHAI	1
266127	LIFEBUOY Nuoc Rua Tay Lam Bep 500g/1Chai	8934868133377	CHAI	1
266135	LIFEBUOY Nuoc Rua Tay Matcha&Lo hoi 500g/1Chai	266135	CHAI	1
266135	LIFEBUOY Nuoc Rua Tay Matcha&Lo hoi 500g/1Chai	8934868141938	CHAI	1
266258	MEBIPHAR Khau Trang 3D Nguoi Lon 5pcs/1 Goi	266258	GOI	1
266258	MEBIPHAR Khau Trang 3D Nguoi Lon 5pcs/1 Goi	8936039019008	GOI	1
266266	MEBIPHAR Khau Trang 3D Tre Em 5pcs/1 Goi	266266	GOI	1
266266	MEBIPHAR Khau Trang 3D Tre Em 5pcs/1 Goi	8936039019015	GOI	1
266363	VICO Ly Thuy Tinh/1 Cai	266363	CAI	1
266363	VICO Ly Thuy Tinh/1 Cai	2900012663638	CAI	1
266371	KOTEX Trai Dau Bong/1Cai	266371	CAI	1
266371	KOTEX Trai Dau Bong/1Cai	2900012663713	CAI	1
266397	3M Khan Lau Tien Dung 30x30 3pcs/1 Goi	266397	CHAI	1
266397	3M Khan Lau Tien Dung 30x30 3pcs/1 Goi	8935107563917	CHAI	1
266402	3M Gang Tay Co Moc Treo 38cm/1 Cap	266402	CHAI	1
266402	3M Gang Tay Co Moc Treo 38cm/1 Cap	8935107572315	CHAI	1
266436	PANTENE Dau Goi Phuc Hoi Hu Ton 300g/1Chai	266436	CHAI	1
266436	PANTENE Dau Goi Phuc Hoi Hu Ton 300g/1Chai	4902430775748	CHAI	1
266444	PANTENE Dau Goi Suon Muot Ong A 650g/1Chai	266444	CHAI	1
266444	PANTENE Dau Goi Suon Muot Ong A 650g/1Chai	4902430467773	CHAI	1
266452	PANTENE Dau Goi Phuc Hoi Hu Ton 650g/1Chai	266452	CHAI	1
266452	PANTENE Dau Goi Phuc Hoi Hu Ton 650g/1Chai	4902430467759	CHAI	1
266460	H&S Dau Goi Mat Lanh Bac Ha 350ml/1Chai	266460	CHAI	1
266460	H&S Dau Goi Mat Lanh Bac Ha 350ml/1Chai	4902430379526	CHAI	1
266478	H&S Dau Goi Lam Diu Da Dau Ngua625ml/1Chai	266478	CHAI	1
266478	H&S Dau Goi Lam Diu Da Dau Ngua625ml/1Chai	4902430379830	CHAI	1
266486	H&S MEN Dau Goi Bac Ha MatLanh 315ml/1Chai	266486	CHAI	1
266486	H&S MEN Dau Goi Bac Ha MatLanh 315ml/1Chai	4902430506977	CHAI	1
266494	REJOICE Dau Goi Sieu Mem Muot 320g/1Chai	266494	CHAI	1
266494	REJOICE Dau Goi Sieu Mem Muot 320g/1Chai	4902430451680	CHAI	1
266509	REJOICE Dau Xa Huong Nuoc Hoa 320ml/1Tuyp	266509	TUYP	1
266509	REJOICE Dau Xa Huong Nuoc Hoa 320ml/1Tuyp	4902430754842	TUYP	1
266517	REJOICE Dau Xa Sieu Mem Muot 320ml/1Tuyp	266517	TUYP	1
266517	REJOICE Dau Xa Sieu Mem Muot 320ml/1Tuyp	4902430452564	TUYP	1
266525	REJOICE Dau Goi MIC Sach Dau 300ml/1Chai	266525	CHAI	1
266525	REJOICE Dau Goi MIC Sach Dau 300ml/1Chai	4902430830997	CHAI	1
266533	BIORE Xit Chong Nang SPF50+ 75g/1Chai	266533	CHAI	1
266533	BIORE Xit Chong Nang SPF50+ 75g/1Chai	4901301333377	CHAI	1
266541	LISTERINE Nuoc Suc Mieng Cool Mint 500ml/1Chai	266541	CHAI	1
266541	LISTERINE Nuoc Suc Mieng Cool Mint 500ml/1Chai	8850007813057	CHAI	1
266559	PALMOLIVE Sua Tam Hoa Lan 400ml/1Chai	266559	CHAI	1
266559	PALMOLIVE Sua Tam Hoa Lan 400ml/1Chai	8850006480830	CHAI	1
266614	DOVE Dau Xa 1Minute 180ml/1Chai	266614	CHAI	1
266614	DOVE Dau Xa 1Minute 180ml/1Chai	8851932389761	CHAI	1
